2000 10000
397 1471 50
773 1934 76
1625 1320 67
1874 702 96
1903 629 19
144 545 25
1874 1992 98
1469 831 61
1408 1856 64
1070 402 8
577 1151 31
1478 1924 65
1253 1550 85
1871 1776 39
918 1680 20
1837 176 65
1061 50 58
1659 1519 89
471 1280 97
1386 350 51
393 927 2
1223 405 79
339 10 81
423 1881 57
1561 800 89
32 637 17
697 50 19
1354 61 91
1194 885 71
890 271 21
1341 1017 1
1294 592 58
1524 932 69
1304 1707 2
1213 1621 2
1153 1653 91
1270 350 94
1788 56 55
178 1250 92
200 493 16
573 186 33
225 1480 25
282 1005 57
702 661 65
1004 1874 86
457 1028 39
548 650 42
1041 438 98
1947 969 1
1739 1169 94
154 94 80
1586 319 12
1962 602 17
1271 1656 79
1935 1012 5
572 1470 85
862 18 35
1855 1411 74
553 1358 95
853 1449 16
1998 1603 11
977 1541 82
140 1856 84
1957 1127 93
787 1062 5
1491 1986 27
1576 1200 45
662 1056 8
187 1609 19
681 814 68
1049 1164 24
1159 493 65
1940 633 21
1676 590 48
1420 1729 62
176 1573 100
403 1501 1
999 163 57
1007 351 18
725 1032 32
1892 433 96
1015 1944 89
32 237 22
904 1913 65
904 1685 46
317 1861 19
1717 264 20
317 1264 84
325 623 35
1942 1348 19
373 1592 53
320 960 97
760 992 34
1833 248 99
1849 1152 36
1595 1470 98
913 1539 14
1733 1856 30
1068 181 53
754 123 1
1472 848 46
976 1520 6
425 280 50
110 465 98
61 315 51
1696 1910 73
1545 823 12
1659 908 20
1388 1976 53
93 730 28
145 555 28
1790 1883 48
395 660 80
344 771 45
542 1184 12
244 880 22
1768 778 46
831 789 6
102 529 83
1554 622 65
1833 768 20
960 558 56
1959 1306 16
1238 1650 87
1334 544 23
1746 1140 4
419 908 34
1916 1739 23
322 193 52
704 1747 75
168 1580 95
540 892 53
795 851 59
1710 441 62
1749 128 6
971 226 47
1426 645 7
1011 562 99
1033 884 92
1585 1588 92
1111 108 24
1757 648 17
609 1795 20
1120 1858 14
1633 1607 42
338 930 68
536 709 65
1995 1720 27
1193 754 63
936 691 3
427 154 12
203 1911 12
871 872 8
390 344 66
703 1977 25
1496 668 7
515 1556 16
180 1551 37
758 1096 43
573 33 34
1975 812 40
1838 1015 51
350 238 75
1009 629 20
1526 1684 97
1650 1533 65
1056 48 22
1524 580 25
1360 1691 22
654 264 7
639 239 71
778 78 39
1180 780 77
454 1789 58
73 1315 43
