5000 25000
3522 2721 49
2832 2863 30
2727 1669 100
4252 2465 87
1248 3417 25
4028 1605 68
3475 2580 90
2712 3730 9
1097 3711 66
4022 2715 79
3736 1237 100
2684 421 15
2514 3148 37
3765 2400 2
4604 1 19
1728 4029 25
1895 3856 57
1636 2921 39
3596 4018 51
3162 4393 18
2192 4481 7
2591 2165 29
3557 1031 77
1193 1149 30
2646 2105 31
2517 3833 12
3993 2081 68
3049 3717 89
2188 2314 60
1390 1828 53
3307 4020 34
4165 2963 51
4093 1520 35
2170 4066 36
351 3064 41
2181 581 26
4392 4574 7
1811 3976 77
2152 2516 43
2863 3906 23
1615 3565 95
1200 2730 58
4302 1824 30
4788 346 48
1423 697 13
1515 4230 94
441 4974 21
2799 1785 49
227 289 65
4969 3152 71
4243 1119 88
2537 3671 18
3794 4326 94
4276 4114 92
3823 1890 41
1435 4757 23
981 198 97
1453 4350 35
901 4577 24
2865 4547 29
87 3790 100
874 2680 72
743 1474 98
3789 750 64
3532 926 54
325 3713 12
1347 4694 62
2344 2499 12
1478 3400 90
2253 2617 89
2533 2704 31
3933 4930 11
4004 674 38
4753 815 40
4616 4347 66
2722 4672 80
585 1020 26
4998 4716 26
2410 2546 26
751 1151 44
4991 3685 100
3021 2618 31
84 2974 57
3621 4079 24
4260 47 71
826 4121 96
2457 4706 68
3782 4705 36
3959 3467 82
2537 570 33
2380 561 70
2631 4934 40
2813 18 66
3669 3639 45
1692 4252 93
415 1430 14
162 3887 73
929 4021 30
4116 2981 49
3497 518 19
381 4250 32
951 1881 66
490 1047 85
4356 4716 76
3652 2761 28
2996 3176 58
110 4690 97
4634 619 19
3863 1087 52
4263 4584 70
3881 1317 72
412 2268 5
3229 4111 52
4713 4819 69
1189 4823 82
3268 2820 58
426 4282 48
4174 3916 19
592 4131 58
2695 3394 42
3964 3627 59
2187 4039 80
2292 2268 43
3443 3334 14
663 875 37
644 4143 57
153 921 39
4352 1448 7
522 2040 38
2779 1088 84
972 52 11
483 3592 2
3614 884 23
856 679 57
621 2695 84
3857 3339 79
4914 4845 1
1604 549 49
2211 2424 41
3300 1555 81
2784 2528 34
2246 4363 78
748 2977 62
2870 185 93
4678 806 88
2361 1015 80
539 929 25
991 3886 26
